NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
14.21,Operation of gravel and sand pits,8.12,Operation of gravel and sand pits; mining of clays and kaolin,Except support activities
14.21,Operation of gravel and sand pits,9.9,Support activities for other mining and quarrying,Support activities for operation of gravel and sand pits: part of all inclusions
14.22,Mining of clays and kaolin,8.12,Operation of gravel and sand pits; mining of clays and kaolin,Except support activities
14.22,Mining of clays and kaolin,9.9,Support activities for other mining and quarrying,Support activities for mining of clays and kaolin: part of all inclusions
14.3,Mining of chemical and fertilizer minerals,8.91,Mining of chemical and fertiliser minerals,Except support activities
14.3,Mining of chemical and fertilizer minerals,9.9,Support activities for other mining and quarrying,Support activities for mining of chemical and fertilizer minerals: part of all inclusions
14.4,Production of salt,8.93,Extraction of salt,Except support activities and manufacture of table salt
14.4,Production of salt,9.9,Support activities for other mining and quarrying,Support activities for mining of salt: part of all inclusions
14.4,Production of salt,10.84,Manufacture of condiments and seasonings,"Manufacture of table salt, part of inclusion ""crushing, purification and refining of salt"""
14.5,Other mining and quarrying n.e.c.,8.99,Other mining and quarrying n.e.c.,Except support activities
14.5,Other mining and quarrying n.e.c.,9.9,Support activities for other mining and quarrying,Support activities for other mining and carrying n.e.c.: part of all inclusions
14.5,Other mining and quarrying n.e.c.,38.21,Treatment and disposal of non-hazardous waste,Ashes and residues of waste incineration
15.11,Production and preserving of meat,10.11,Processing and preserving of meat,All
15.12,Production and preserving of poultrymeat,10.11,Processing and preserving of meat,Processing and preserving of rabbit meat
15.12,Production and preserving of poultrymeat,10.12,Processing and preserving of poultry meat,Except processing and preserving of rabbit meat
15.13,Production of meat and poultrymeat products,10.13,Production of meat and poultry meat products,"Except prepared dishes and extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"
15.13,Production of meat and poultrymeat products,10.85,Manufacture of prepared meals and dishes,Production of prepared meat dishes
15.13,Production of meat and poultrymeat products,10.89,Manufacture of other food products n.e.c.,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"
15.2,Processing and preserving of fish and fish products,10.2,"Processing and preserving of fish, crustaceans and molluscs",Except prepared fish dishes
15.2,Processing and preserving of fish and fish products,10.85,Manufacture of prepared meals and dishes,Production of prepared fish dishes
15.31,Processing and preserving of potatoes,10.31,Processing and preserving of potatoes,=
15.32,Manufacture of fruit and vegetable juice,10.32,Manufacture of fruit and vegetable juice,=
15.33,Processing and preserving of fruit and vegetables n.e.c.,10.39,Other processing and preserving of fruit and vegetables,Except prepared dishes of vegetables
15.33,Processing and preserving of fruit and vegetables n.e.c.,10.85,Manufacture of prepared meals and dishes,Manufacture of prepared dishes of vegetables
15.41,Manufacture of crude oils and fats,10.41,Manufacture of oils and fats,All
15.42,Manufacture of refined oils and fats,10.41,Manufacture of oils and fats,All
15.43,Manufacture of margarine and similar edible fats,10.42,Manufacture of margarine and similar edible fats,=
15.51,Operation of dairies and cheese making,10.51,Operation of dairies and cheese making,=
15.52,Manufacture of ice cream,10.52,Manufacture of ice cream,=
15.61,Manufacture of grain mill products,10.61,Manufacture of grain mill products,=
15.62,Manufacture of starches and starch products,10.62,Manufacture of starches and starch products,Except manufacture of artificial honey and caramel
15.62,Manufacture of starches and starch products,10.89,Manufacture of other food products n.e.c.,Manufacture of artificial honey and caramel
15.71,Manufacture of prepared feeds for farm animals,10.91,Manufacture of prepared feeds for farm animals,=
15.72,Manufacture of prepared pet foods,10.92,Manufacture of prepared pet foods,=
15.81,Manufacture of bread; manufacture of fresh pastry goods and cakes,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Except cooked pizza (frozen or not) and perishable food preparation
15.81,Manufacture of bread; manufacture of fresh pastry goods and cakes,10.85,Manufacture of prepared meals and dishes,Cooked pizza (frozen or not)
15.81,Manufacture of bread; manufacture of fresh pastry goods and cakes,10.89,Manufacture of other food products n.e.c.,Perishable food preparations
15.82,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,=
15.83,Manufacture of sugar,10.81,Manufacture of sugar,=
15.84,Manufacture of cocoa; chocolate and sugar confectionery,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",=
15.85,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Except pasta, cooked, stuffed or otherwise prepared"
15.85,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",10.85,Manufacture of prepared meals and dishes,"Pasta, cooked, stuffed or otherwise prepared"
15.86,Processing of tea and coffee,10.83,Processing of tea and coffee,=
15.87,Manufacture of condiments and seasonings,10.84,Manufacture of condiments and seasonings,All
15.88,Manufacture of homogenised food preparations and dietetic food,10.86,Manufacture of homogenised food preparations and dietetic food,=
15.89,Manufacture of other food products n.e.c.,10.89,Manufacture of other food products n.e.c.,All
15.91,Manufacture of distilled potable alcoholic beverages,11.01,"Distilling, rectifying and blending of spirits",All
15.92,Production of ethyl alcohol from fermented materials,11.01,"Distilling, rectifying and blending of spirits",Except production of ethyl alcohol from fermented materials and manufacture of denatured ethyl alcohol
