NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
31.61,Manufacture of electrical equipment for engines and vehicles n.e.c.,29.31,Manufacture of electrical and electronic equipment for motor vehicles,"- Manufacture of electrical ignition or starting equipment for internal combustion engines: ignition magnetos, magneto-dynamos, ignition coils, sparking plugs, glow plugs, starter motors, generators (dynamos, alternators), voltage regulators, etc.
- Manuf"
31.62,Manufacture of other electrical equipment n.e.c.,23.44,Manufacture of other technical ceramic products,"Permanent magnets, ceramic and ferrite type"
31.62,Manufacture of other electrical equipment n.e.c.,25.99,Manufacture of other fabricated metal products n.e.c.,"Permanent magnets, metallic"
31.62,Manufacture of other electrical equipment n.e.c.,26.3,Manufacture of communication equipment,"Burglar and fire alarm systems, sending signals to a control station"
31.62,Manufacture of other electrical equipment n.e.c.,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","Mine detectors, sending out and responding to a signal; pulse (signal) generators; metal detectors"
31.62,Manufacture of other electrical equipment n.e.c.,27.11,"Manufacture of electric motors, generators and transformers",Electric outboard motors
31.62,Manufacture of other electrical equipment n.e.c.,27.4,Manufacture of electric lighting equipment,Bug zappers without light
31.62,Manufacture of other electrical equipment n.e.c.,27.9,Manufacture of other electrical equipment,"Electromagnets, carbon and graphite electrodes, contacts, and other electrical carbon and graphite products; particle accelerators, chimes and bells, miscellaneous electrical machinery (see index list)"
31.62,Manufacture of other electrical equipment n.e.c.,28.49,Manufacture of other machine tools,Electroplating machinery
31.62,Manufacture of other electrical equipment n.e.c.,28.99,Manufacture of other special-purpose machinery n.e.c.,Manufacture of tanning beds
31.62,Manufacture of other electrical equipment n.e.c.,29.31,Manufacture of electrical and electronic equipment for motor vehicles,"Sound signalling burglar alarms, electrical, for motor vehicles"
31.62,Manufacture of other electrical equipment n.e.c.,30.2,Manufacture of railway locomotives and rolling stock,"Manufacture of mechanical and electromechanical signalling, safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
31.62,Manufacture of other electrical equipment n.e.c.,33.13,Repair of electronic and optical equipment,Repair of mine detectors
31.62,Manufacture of other electrical equipment n.e.c.,33.14,Repair of electrical equipment,Repair and maintenance of miscellaneous electrical machinery
32,"Manufacture of radio, television and communication equipment and apparatus",33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
32.1,Manufacture of electronic valves and tubes and other electronic components,26.11,Manufacture of electronic components,"Electron tubes including CRTs, other vacuum tubes and parts (except glass blanks); bare printed circuits, rigid and flexible (no components attached or inserted); semi-conductors and related devices, including discretes (transistors, diodes, and similar)."
32.1,Manufacture of electronic valves and tubes and other electronic components,26.12,Manufacture of loaded electronic boards,Electronic boards
32.1,Manufacture of electronic valves and tubes and other electronic components,27.9,Manufacture of other electrical equipment,Manufacture of capacitators and resistors
32.1,Manufacture of electronic valves and tubes and other electronic components,33.13,Repair of electronic and optical equipment,"Repair of electron tubes including CRTs, other vacuum tubes and parts (except glass blanks); bare printed circuits, rigid and flexible (no components attached or inserted); semi-conductors and related devices, including discretes (transistors, diodes)"
32.2,Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy,26.3,Manufacture of communication equipment,"Central office switching equipment, cordless telephones (except cellular), PBX equipment, telephones, and data communications equipment, such as bridges, routers, and gateways; wireless telephone equipment, radio and television broadcast equipment."
32.2,Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy,95.12,Repair of communication equipment,Repair of communications equipment (in combination with manufacturing)
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",26.11,Manufacture of electronic components,"Heads (pickup, recording, read/write, etc.), phonograph needles"
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",26.2,Manufacture of computers and peripheral equipment,Video beamers
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",26.3,Manufacture of communication equipment,"Telephone answering machines; broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, paging equipment; radio and infrared remote control devices"
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",26.4,Manufacture of consumer electronics,"Except:
- heads (pickup, recording, read/write, etc.), phonograph needles
- video beamers
- telephone answering machines; broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, paging equipment; radio and infrared "
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",26.7,Manufacture of optical instruments and photographic equipment,Digital cameras
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Dictating machines
32.3,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",33.13,Repair of electronic and optical equipment,"Repair of heads (pickup, recording, read/write, etc.), phonograph needles"
33,"Manufacture of medical, precision and optical instruments, watches and clocks",33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
33.1,Manufacture of medical and surgical equipment and orthopaedic appliances,26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment","Electromedical and electrotherapeutic apparatus manufacturing, medical laser equipment, medical endoscopic equipment, pacemakers and hearing aids"
33.1,Manufacture of medical and surgical equipment and orthopaedic appliances,32.5,Manufacture of medical and dental instruments and supplies,"- Orthopaedic and prosthetic devices; artificial teeth, bridges, etc., made in dental labs; laboratory sterilizers, hospital and surgical furniture; dental instruments; glass eyes; bone plates and screws, syringes, needles, catheters, cannulae, etc.
- Hyd"
33.1,Manufacture of medical and surgical equipment and orthopaedic appliances,32.99,Other manufacturing n.e.c. ,Gas masks
33.1,Manufacture of medical and surgical equipment and orthopaedic appliances,33.13,Repair of electronic and optical equipment,"Repair of electromedical and electrotherapeutic apparatus manufacturing, medical laser equipment, medical endoscopic equipment; X-ray and other irradiation apparatus, medical; repair of electromedical and electrotherapeutic apparatus manufacturing."
33.1,Manufacture of medical and surgical equipment and orthopaedic appliances,33.14,Repair of electrical equipment,Repair and maintenance of electrical medical equipment
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",26.51,"Manufacture of instruments and appliances for measuring, testing and navigation","- Flight recorders, search, detection, navigation, aeronautical, and nautical equipment, including sonabouys; environmental controls and automatic controls for appliances, temperature, humidity and similar; fluid meters and counting devices; laboratory sc"
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",26.7,Manufacture of optical instruments and photographic equipment,"- Optical measuring and checking devices and instruments, such as optical comparators, gun sighting and fire control equipment, optical alignment, test, and control equipment; photographic light meters, range finders, etc.
- Optical instruments and lenses"
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",28.29,Manufacture of other general-purpose machinery n.e.c.,"Levels, tape measures and similar hand tools, machinists' precision tools (except optical)"
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",28.99,Manufacture of other special-purpose machinery n.e.c.,Alignment and tyre balancing equipment; balancing equipment (except wheel balancing)
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",32.5,Manufacture of medical and dental instruments and supplies,Medical thermometers
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",33.13,Repair of electronic and optical equipment,"- Repair of flight recorders, search, detection, navigation, aeronautical, and nautical equipment, including sonabouys; environmental controls and automatic controls for appliances, temperature, humidity and similar; fluid meters and counting devices.
- R"
33.2,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",33.14,Repair of electrical equipment,Repair and maintenance of precision instruments and apparatus
33.3,Manufacture of industrial process control equipment,33.2,Installation of industrial machinery and equipment,"All

There has in reality never existed any ""repair of industrial process control equipment""."
33.4,Manufacture of optical instruments and photographic equipment,26.7,Manufacture of optical instruments and photographic equipment,"Except:
- optical fibres, optical fibre bundles and cables 
- photolithography equipment for semi-conductor manufacture
- ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles
- repair of optical instrumen"
33.4,Manufacture of optical instruments and photographic equipment,27.31,Manufacture of fibre optic cables,"Optical fibres, optical fibre bundles and cables"
33.4,Manufacture of optical instruments and photographic equipment,28.99,Manufacture of other special-purpose machinery n.e.c.,Photolithography equipment for semi-conductor manufacture
33.4,Manufacture of optical instruments and photographic equipment,32.5,Manufacture of medical and dental instruments and supplies,"Ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles"
33.4,Manufacture of optical instruments and photographic equipment,33.13,Repair of electronic and optical equipment,"Repair of optical instruments and lenses, optical microscopes, binoculars, telescopes. etc.; photographic equipment."
33.5,Manufacture of watches and clocks,26.52,Manufacture of watches and clocks,"Except:
- manufacture of precious metal watch bands, wristbands, watch straps
- manufacture of metal watch bands; watch bands, metal (except precious metal); manufacture of metallic watch straps
- repair of parking meters, time clocks, time/date stamps, t"
33.5,Manufacture of watches and clocks,32.12,Manufacture of jewellery and related articles,"Manufacture of precious metal watch bands, wristbands, watch straps"
33.5,Manufacture of watches and clocks,32.13,Manufacture of imitation jewellery and related articles,Manufacture of metal watch bands (except precious metal); manufacture of metallic watch straps
33.5,Manufacture of watches and clocks,33.13,Repair of electronic and optical equipment,"Repair of parking meters, time clocks, time/date stamps, time locks, and similar timing devices"
34,"Manufacture of motor vehicles, trailers and semi-trailers",33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
34.1,Manufacture of motor vehicles,28.92,"Manufacture of machinery for mining, quarrying and construction",Off-road dumping trucks
34.1,Manufacture of motor vehicles,29.1,Manufacture of motor vehicles,"Except:
- off-road dumping trucks
- motor cycle engines"
34.1,Manufacture of motor vehicles,30.91,Manufacture of motorcycles,Manufacture of motor cycle engines
34.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,29.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"Except ""repair and maintenance of containers"""
34.2,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,33.11,Repair of fabricated metal products,Repair and maintenance of containers
34.3,Manufacture of parts and accessories for motor vehicles and their engines,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","Manufacture of pistons, piston rings, carburettors and such for all internal combustion engines, diesel engines etc.; manufacture of inlet and exhaust valves of internal combustion engines."
34.3,Manufacture of parts and accessories for motor vehicles and their engines,29.32,Manufacture of other parts and accessories for motor vehicles,"Except manufacture of pistons, piston rings, carburettors and such for all internal combustion engines, diesel engines etc.; manufacture of inlet and exhaust valves of internal combustion engines."
35,Manufacture of other transport equipment,33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
35.11,Building and repairing of ships,30.11,Building of ships and floating structures,Except repair and maintenance
35.11,Building and repairing of ships,33.15,Repair and maintenance of ships and boats,Repairs and routine maintenance performed by floating dry-docks
35.12,Building and repairing of pleasure and sporting boats,30.12,Building of pleasure and sporting boats,Except repair and maintenance
35.12,Building and repairing of pleasure and sporting boats,33.15,Repair and maintenance of ships and boats,Repair and routine maintenance performed by floating dry-docks
35.2,Manufacture of railway and tramway locomotives and rolling stock,30.2,Manufacture of railway locomotives and rolling stock,Except repair and maintenance
35.2,Manufacture of railway and tramway locomotives and rolling stock,33.17,Repair and maintenance of other transport equipment,Repair and maintenance
35.3,Manufacture of aircraft and spacecraft,28.99,Manufacture of other special-purpose machinery n.e.c.,"Manufacture of aircraft launching gear, aircraft carrier catapults and related equipment"
35.3,Manufacture of aircraft and spacecraft,30.3,Manufacture of air and spacecraft and related machinery,Including satellites
35.3,Manufacture of aircraft and spacecraft,33.16,Repair and maintenance of aircraft and spacecraft,Repair and maintenance
35.41,Manufacture of motorcycles,30.91,Manufacture of motorcycles,All
35.42,Manufacture of bicycles,30.92,Manufacture of bicycles and invalid carriages,All
35.43,Manufacture of invalid carriages,30.92,Manufacture of bicycles and invalid carriages,Except repair and maintenance
35.43,Manufacture of invalid carriages,33.17,Repair and maintenance of other transport equipment,Repair and maintenance
35.5,Manufacture of other transport equipment n.e.c.,28.22,Manufacture of lifting and handling equipment,Manufacture of wheelbarrows
35.5,Manufacture of other transport equipment n.e.c.,30.99,Manufacture of other transport equipment n.e.c.,"Except:
- decorative restaurant carts, such as a desert cart, food wagons
- repair and maintenance"
35.5,Manufacture of other transport equipment n.e.c.,31.01,Manufacture of office and shop furniture,"Decorative restaurant carts, such as a desert cart, food wagons"
35.5,Manufacture of other transport equipment n.e.c.,33.11,Repair of fabricated metal products,Repair of shopping carts
35.5,Manufacture of other transport equipment n.e.c.,33.17,Repair and maintenance of other transport equipment,Repair and maintenance (except repair of shopping carts)
36,Manufacture of furniture; manufacturing n.e.c.,33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
36.11,Manufacture of chairs and seats,29.32,Manufacture of other parts and accessories for motor vehicles,Manufacture of car seats
36.11,Manufacture of chairs and seats,30.11,Building of ships and floating structures,Manufacture of seats for ships and floating structures
36.11,Manufacture of chairs and seats,30.2,Manufacture of railway locomotives and rolling stock,Manufacture of railway car seats
36.11,Manufacture of chairs and seats,30.3,Manufacture of air and spacecraft and related machinery,Manufacture of aircraft seats
36.11,Manufacture of chairs and seats,31.01,Manufacture of office and shop furniture,Office and shop chairs and seats
36.11,Manufacture of chairs and seats,31.02,Manufacture of kitchen furniture,Kitchen chairs and seats
36.11,Manufacture of chairs and seats,31.09,Manufacture of other furniture,"Sofas, sofa beds and sofa sets"
36.11,Manufacture of chairs and seats,95.24,Repair of furniture and home furnishings,"Repair and maintenance services for seats, reupholstering of seats and chairs"
36.12,Manufacture of other office and shop furniture,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Blackboards
36.12,Manufacture of other office and shop furniture,31.01,Manufacture of office and shop furniture,"- Includes office and shop chairs and seats
- Except repair and restoration."
36.12,Manufacture of other office and shop furniture,95.24,Repair of furniture and home furnishings,Repair of office and shop furniture
36.13,Manufacture of other kitchen furniture,31.02,Manufacture of kitchen furniture,"Except repair, maintenance and restoration"
36.13,Manufacture of other kitchen furniture,95.24,Repair of furniture and home furnishings,"Repair, maintenance and restoration services for other kitchen furniture"
36.14,Manufacture of other furniture,31.09,Manufacture of other furniture,"Except repair, maintenance and restoration"
36.14,Manufacture of other furniture,95.24,Repair of furniture and home furnishings,"Repair, maintenance and restoration services for other furniture"
36.15,Manufacture of mattresses,31.03,Manufacture of mattresses,=
36.21,Striking of coins ,32.11,Striking of coins,=
36.22,Manufacture of jewellery and related articles n.e.c.,32.12,Manufacture of jewellery and related articles,All
36.3,Manufacture of musical instruments,32.2,Manufacture of musical instruments,"Except:
- restoring of organs and other historic musical instruments
- repair of musical instruments"
36.3,Manufacture of musical instruments,33.19,Repair of other equipment,Restoration services for organs and similar instruments
36.3,Manufacture of musical instruments,95.29,Repair of other personal and household goods,Repair of musical instruments
36.4,Manufacture of sports goods,32.3,Manufacture of sports goods,"Except ear and noise plugs (e.g., for swimming and noise protection)"
36.4,Manufacture of sports goods,32.99,Other manufacturing n.e.c. ,"Ear and noise plugs (e.g., for swimming and noise protection)"
36.5,Manufacture of games and toys,26.4,Manufacture of consumer electronics,Manufacture of video game consoles
36.5,Manufacture of games and toys,28.99,Manufacture of other special-purpose machinery n.e.c.,Manufacture of automatic bowling alley equipment (e.g. pin-setters)
36.5,Manufacture of games and toys,32.4,Manufacture of games and toys,"Except:
- manufacture of video game consoles
- manufacture of automatic bowling alley equipment (e.g. pin-setters)
- repair of pinball machines and other coin-operated games, automatic bowling alley equipment, and similar equipment"
36.5,Manufacture of games and toys,33.19,Repair of other equipment,"Repair of pinball machines and other coin-operated games, automatic bowling alley equipment, and similar equipment"
36.61,Manufacture of imitation jewellery,32.13,Manufacture of imitation jewellery and related articles,All
36.62,Manufacture of brooms and brushes,22.19,Manufacture of other rubber products,Rubber brushes
36.62,Manufacture of brooms and brushes,32.91,Manufacture of brooms and brushes,"Except ""rubber brushes"""
36.63,Other manufacturing n.e.c.,13.99,Manufacture of other textiles n.e.c.,Powder puffs and mitts
36.63,Other manufacturing n.e.c.,15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",Horse whips and riding crops
36.63,Other manufacturing n.e.c.,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","- Handles for umbrellas, canes and similar
- Blocks for the manufacture of smoking pipes"
36.63,Other manufacturing n.e.c.,17.29,Manufacture of other articles of paper and paperboard,Manufacture of paper novelties
36.63,Other manufacturing n.e.c.,20.51,Manufacture of explosives,Manufacture of matches
36.63,Other manufacturing n.e.c.,22.19,Manufacture of other rubber products,"Hard rubber pipe stems, hard rubber combs, hair pins, hair rollers, and similar"
36.63,Other manufacturing n.e.c.,22.23,Manufacture of builders’ ware of plastic,"Manufacture of linoleum and hard non-plastic surface floor coverings, i.e. resilient floor coverings, such as vinyl, linoleum etc."
36.63,Other manufacturing n.e.c.,22.29,Manufacture of other plastic products,"Manufacture of cigar and cigarette holders, combs, plastics hair curlers, plastics novelties and similar"
36.63,Other manufacturing n.e.c.,25.99,Manufacture of other fabricated metal products n.e.c.,"Metal vacuum jugs and bottles; metal badges and metal military insignia; metal hair curlers, metal umbrella handles and frames, combs"
36.63,Other manufacturing n.e.c.,28.99,Manufacture of other special-purpose machinery n.e.c.,"Manufacture of roundabouts, swings, shooting galleries and other fairground amusements"
36.63,Other manufacturing n.e.c.,30.92,Manufacture of bicycles and invalid carriages,Manufacture of baby carriages
36.63,Other manufacturing n.e.c.,32.99,Other manufacturing n.e.c. ,"Except:
- powder puffs and mitts
- horse whips and riding crops
- handles for umbrellas, canes and similar
- blocks for the manufacture of smoking pipes
- manufacture of paper novelties
- manufacture of matches
- hard rubber pipe stems, hard rubber combs,"
37.1,Recycling of metal waste and scrap,38.31,Dismantling of wrecks,"Includes:
- dismantling of automobiles"
37.1,Recycling of metal waste and scrap,38.32,Recovery of sorted materials,"Includes:
- reclaiming metals out of photographic waste, e.g. fixer solution or photographic films and paper"
37.2,Recycling of non-metal waste and scrap,38.32,Recovery of sorted materials,All
40.11,Production of electricity,35.11,Production of electricity,Except spent (irradiated) fuel elements (cartridges) of nuclear reactors
40.11,Production of electricity,38.12,Collection of hazardous waste,Spent (irradiated) fuel elements (cartridges) of nuclear reactors
40.12,Transmission of electricity,35.12,Transmission of electricity,=
40.13,Distribution and trade of electricity,35.13,Distribution of electricity,Operation of distribution systems
40.13,Distribution and trade of electricity,35.14,Trade of electricity,"- Sale of electricity to the users 
- Activities of electric power brokers or agents"
40.21,Manufacture of gas,35.21,Manufacture of gas,=
40.22,Distribution and trade of gaseous fuels through mains,35.22,Distribution of gaseous fuels through mains,"Transportation, distribution and supply of gaseous fuels of all kinds through a system of mains"
40.22,Distribution and trade of gaseous fuels through mains,35.23,Trade of gas through mains,"- Sale of gas to the users through mains 
- Activities of gas brokers or agents"
40.3,Steam and hot water supply,35.3,Steam and air conditioning supply,=
41,"Collection, purification and distribution of water",36,"Water collection, treatment and supply",=
45.11,Demolition and wrecking of buildings; earth moving,43.11,Demolition,Demolition or wrecking of buildings and other structures
45.11,Demolition and wrecking of buildings; earth moving,43.12,Site preparation,"- Clearing of building sites
- Earth moving
- Site preparation for mining
- Building site drainage and drainage of agricultural or forestry land"
45.12,Test drilling and boring,43.13,Test drilling and boring,=
45.21,General construction of buildings and civil engineering works,41.2,Construction of residential and non-residential buildings,"- Construction of buildings
- Construction of all types of buildings
- Assembly and erection of prefabricated constructions on the site"
45.21,General construction of buildings and civil engineering works,42.12,Construction of railways and underground railways,"Construction of subways (rails part construction, excluding tunnel construction)"
45.21,General construction of buildings and civil engineering works,42.13,Construction of bridges and tunnels,"- Bridges, including those for elevated highways, viaducts and tunnels: part of inclusion ""construction of civil engineering constructions""
- Construction of tunnels for subways"
45.21,General construction of buildings and civil engineering works,42.21,Construction of utility projects for fluids,"Construction of long-distance pipelines and urban pipelines: part of inclusion ""construction of civil engineering constructions"""
45.21,General construction of buildings and civil engineering works,42.22,Construction of utility projects for electricity and telecommunications,Construction of long-distance and urban communication and power lines
45.21,General construction of buildings and civil engineering works,42.99,Construction of other civil engineering projects n.e.c.,"Construction of industrial facilities, except buildings, such as: refineries, chemical plants"
45.21,General construction of buildings and civil engineering works,43.99,Other specialised construction activities n.e.c.,Construction of outdoor swimming pools
45.22,Erection of roof covering and frames,43.91,Roofing activities,"- Erection of roofs
- Roof covering"
45.22,Erection of roof covering and frames,43.99,Other specialised construction activities n.e.c.,"Waterproofing, including hydrophobic wall treatment"
45.23,"Construction of motorways, roads, airfields and sport facilities",41.2,Construction of residential and non-residential buildings,Flatwork for indoor sport and recreation installations
45.23,"Construction of motorways, roads, airfields and sport facilities",42.11,Construction of roads and motorways,"- Construction of motorways, streets, roads, other vehicular and pedestrian ways
- Construction of airfield runways
- Painting of markings on road surfaces and car parks
- Surface work on elevated highways, bridges and tunnels
- Installation of crash barr"
45.23,"Construction of motorways, roads, airfields and sport facilities",42.12,Construction of railways and underground railways,Construction of railways
45.23,"Construction of motorways, roads, airfields and sport facilities",42.99,Construction of other civil engineering projects n.e.c.,"Construction work, other than buildings, for stadiums, swimming pools, gymnasiums, tennis courts, golf courses and other sports installations"
45.24,Construction of water projects,42.21,Construction of utility projects for fluids,Construction of irrigation systems (canals)
45.24,Construction of water projects,42.91,Construction of water projects,"Construction of: 
- waterways, harbour and river works, pleasure ports (marinas), locks etc.
- dams and dykes
- dredging"
45.24,Construction of water projects,43.99,Other specialised construction activities n.e.c.,Subsurface work
45.25,Other construction work involving special trades,42.21,Construction of utility projects for fluids,Water well drilling and construction
45.25,Other construction work involving special trades,43.99,Other specialised construction activities n.e.c.,"- Construction of foundations, including pile driving
- Erection of non-self-manufactured steel elements
- Steel bending
- Bricklaying and stone setting
- Erection of chimneys and industrial ovens
- Work with specialist access requirements necessitating c"
45.31,Installation of electrical wiring and fittings,43.21,Electrical installation,"Installation in building and other construction project of:
- electrical wiring and fittings
- telecommunications wiring
- residential antennas and aerials
- fire alarms
- burglar alarm systems
- electric solar energy collectors"
45.31,Installation of electrical wiring and fittings,43.22,"Plumbing, heat and air-conditioning installation","Installation in buildings or in other construction projects of:
- electrical heating systems"
45.31,Installation of electrical wiring and fittings,43.29,Other construction installation,"Installation in building and other construction project of: 
- lifts and escalators
- lightning conductors etc."
45.31,Installation of electrical wiring and fittings,80.2,Security systems service activities,Installation of fire and burglar alarm systems if together with monitoring or remote monitoring of the same systems
45.32,Insulation work activities,43.29,Other construction installation,All
45.33,Plumbing,43.22,"Plumbing, heat and air-conditioning installation",All
45.34,Other building installation,43.21,Electrical installation,"Installation (and general technical repair and maintenance) of illumination and signalling systems for roads, railways, airports, harbours"
45.34,Other building installation,43.29,Other construction installation,Installation (and general technical repair and maintenance) in buildings or other construction projects of fittings and fixtures n.e.c.
45.41,Plastering,43.31,Plastering,=
45.42,Joinery installation,43.32,Joinery installation,All
45.43,Floor and wall covering,43.33,Floor and wall covering,=
45.44,Painting and glazing,43.34,Painting and glazing,=
45.45,Other building completion,43.39,Other building completion and finishing,Except private outdoor swimming pools
45.45,Other building completion,43.99,Other specialised construction activities n.e.c.,Outdoor private swimming pools
45.5,Renting of construction or demolition equipment with operator,43.99,Other specialised construction activities n.e.c.,All
50.1,Sale of motor vehicles,45.11,Sale of cars and light motor vehicles,"Wholesale and retail sale of new and used vehicles:
- passenger motor vehicles, including specialised passenger motor vehicles such as ambulances and minibuses, etc.
- wholesale and retail sale of off-road motor vehicles (with a weight not exceeding 3,5 t"
50.1,Sale of motor vehicles,45.19,Sale of other motor vehicles,"Wholesale and retail sale of new and used vehicles:
- lorries, trailers and semi-trailers
- camping vehicles such as caravans and motor homes
- wholesale and retail sale of off-road motor vehicles (with a weight exceeding 3,5 tons)"
50.2,Maintenance and repair of motor vehicles,45.2,Maintenance and repair of motor vehicles,"- Repair and maintenance of motor vehicles: mechanical, electrical, etc.
- Tyre and tube repair, fitting or replacement
- Antirust treatment
- Installation of parts and accessories, not part of the manufacturing process"
50.2,Maintenance and repair of motor vehicles,52.21,Service activities incidental to land transportation,"- Towing
- Roadside assistance"
50.3,Sale of motor vehicle parts and accessories,45.31,Wholesale trade of motor vehicle parts and accessories,Wholesale trade of motor vehicles parts and accessories
50.3,Sale of motor vehicle parts and accessories,45.32,Retail trade of motor vehicle parts and accessories,Retail trade of motor vehicles parts and accessories
50.4,"Sale, maintenance and repair of motorcycles and related parts and accessories",45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories",=
50.5,Retail sale of automotive fuel,47.3,Retail sale of automotive fuel in specialised stores,=
51.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",=
51.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",=
51.13,Agents involved in the sale of timber and building materials,46.13,Agents involved in the sale of timber and building materials,=
51.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",=
51.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",46.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",=
51.16,"Agents involved in the sale of textiles, clothing, footwear and leather goods",46.16,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",=
51.17,"Agents involved in the sale of food, beverages and tobacco",46.17,"Agents involved in the sale of food, beverages and tobacco",=
51.18,Agents specialising in the sale of particular products or ranges of products n.e.c.,46.18,Agents specialised in the sale of other particular products,=
51.19,Agents involved in the sale of a variety of goods,46.19,Agents involved in the sale of a variety of goods,=
51.21,"Wholesale of grain, seeds and animal feeds",46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",All
51.22,Wholesale of flowers and plants,46.22,Wholesale of flowers and plants,=
51.23,Wholesale of live animals,46.23,Wholesale of live animals,=
51.24,"Wholesale of hides, skins and leather",46.24,"Wholesale of hides, skins and leather",=
51.25,Wholesale of unmanufactured tobacco,46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",All
51.31,Wholesale of fruit and vegetables,10.39,Other processing and preserving of fruit and vegetables,"Manufacture of peeled, cut fresh vegetables, mixed salads, packed"
51.31,Wholesale of fruit and vegetables,46.31,Wholesale of fruit and vegetables,"Wholesale of fresh fruits and vegetables (except preparing cut, peeled vegetables, mixed salads, packed)"
51.32,Wholesale of meat and meat products,46.32,Wholesale of meat and meat products,=
51.33,"Wholesale of dairy produce, eggs and edible oils and fats",46.33,"Wholesale of dairy products, eggs and edible oils and fats",=
51.34,Wholesale of alcoholic and other beverages,11.01,"Distilling, rectifying and blending of spirits",Blending of distilled spirits
51.34,Wholesale of alcoholic and other beverages,11.02,Manufacture of wine from grape,"- Buying wine in bulk with blending, purification and bottling of wine
- Blending of wine"
51.34,Wholesale of alcoholic and other beverages,46.34,Wholesale of beverages,"- Wholesale of beverages
- Buying of wine in bulk and bottling without transformation"
51.35,Wholesale of tobacco products,46.35,Wholesale of tobacco products,=
51.36,Wholesale of sugar and chocolate and sugar confectionery,46.36,Wholesale of sugar and chocolate and sugar confectionery,=
51.37,"Wholesale of coffee, tea, cocoa and spices",46.37,"Wholesale of coffee, tea, cocoa and spices",=
51.38,"Wholesale of other food, including fish, crustaceans and molluscs",46.31,Wholesale of fruit and vegetables,Preserved fruit and vegetables
51.38,"Wholesale of other food, including fish, crustaceans and molluscs",46.38,"Wholesale of other food, including fish, crustaceans and molluscs",Except processed fruit and vegetables
51.39,"Non-specialised wholesale of food, beverages and tobacco",46.39,"Non-specialised wholesale of food, beverages and tobacco",=
51.41,Wholesale of textiles,46.41,Wholesale of textiles,=
