"Code","Ebene","Titel","Parent"
"10.92",4,"Herstellung von Futtermitteln für sonstige Tiere","10.9"
"10.92.0",5,"Herstellung von Futtermitteln für sonstige Tiere","10.92"
11,2,"Getränkeherstellung","C"
"11.0",3,"Getränkeherstellung",11
"11.01",4,"Herstellung von Spirituosen","11.0"
"11.01.0",5,"Herstellung von Spirituosen","11.01"
"11.02",4,"Herstellung von Traubenwein","11.0"
"11.02.0",5,"Herstellung von Traubenwein","11.02"
"11.03",4,"Herstellung von Apfelwein und anderen Fruchtweinen","11.0"
"11.03.0",5,"Herstellung von Apfelwein und anderen Fruchtweinen","11.03"
"11.04",4,"Herstellung von Wermutwein und sonstigen aromatisierten Weinen","11.0"
"11.04.0",5,"Herstellung von Wermutwein und sonstigen aromatisierten Weinen","11.04"
"11.05",4,"Herstellung von Bier","11.0"
"11.05.0",5,"Herstellung von Bier","11.05"
"11.06",4,"Herstellung von Malz","11.0"
"11.06.0",5,"Herstellung von Malz","11.06"
"11.07",4,"Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer","11.0"
"11.07.0",5,"Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer","11.07"
12,2,"Tabakverarbeitung","C"
"12.0",3,"Tabakverarbeitung",12
"12.00",4,"Tabakverarbeitung","12.0"
"12.00.0",5,"Tabakverarbeitung","12.00"
13,2,"Herstellung von Textilien","C"
"13.1",3,"Spinnstoffaufbereitung und Spinnerei",13
"13.10",4,"Spinnstoffaufbereitung und Spinnerei","13.1"
"13.10.0",5,"Spinnstoffaufbereitung und Spinnerei","13.10"
"13.2",3,"Weberei",13
"13.20",4,"Weberei","13.2"
"13.20.0",5,"Weberei","13.20"
"13.3",3,"Veredlung von Textilien und Bekleidung",13
"13.30",4,"Veredlung von Textilien und Bekleidung","13.3"
"13.30.0",5,"Veredlung von Textilien und Bekleidung","13.30"
"13.9",3,"Herstellung von sonstigen Textilwaren",13
"13.91",4,"Herstellung von gewirktem und gestricktem Stoff","13.9"
"13.91.0",5,"Herstellung von gewirktem und gestricktem Stoff","13.91"
"13.92",4,"Herstellung von konfektionierten Textilwaren (ohne Bekleidung)","13.9"
"13.92.0",5,"Herstellung von konfektionierten Textilwaren (ohne Bekleidung)","13.92"
"13.93",4,"Herstellung von Teppichen","13.9"
"13.93.0",5,"Herstellung von Teppichen","13.93"
"13.94",4,"Herstellung von Seilerwaren","13.9"
"13.94.0",5,"Herstellung von Seilerwaren","13.94"
"13.95",4,"Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)","13.9"
"13.95.0",5,"Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)","13.95"
"13.96",4,"Herstellung von technischen Textilien","13.9"
"13.96.0",5,"Herstellung von technischen Textilien","13.96"
"13.99",4,"Herstellung von sonstigen Textilwaren a. n. g.","13.9"
"13.99.0",5,"Herstellung von sonstigen Textilwaren a. n. g.","13.99"
14,2,"Herstellung von Bekleidung","C"
"14.1",3,"Herstellung von Bekleidung (ohne Pelzbekleidung)",14
"14.11",4,"Herstellung von Lederbekleidung","14.1"
"14.11.0",5,"Herstellung von Lederbekleidung","14.11"
"14.12",4,"Herstellung von Arbeits- und Berufsbekleidung","14.1"
"14.12.0",5,"Herstellung von Arbeits- und Berufsbekleidung","14.12"
"14.13",4,"Herstellung von sonstiger Oberbekleidung","14.1"
"14.13.1",5,"Herstellung von gewebter Oberbekleidung für Herren und Knaben","14.13"
"14.13.2",5,"Herstellung von gewebter Oberbekleidung für Damen und Mädchen","14.13"
"14.13.3",5,"Herstellung von gewirkter und gestrickter Oberbekleidung","14.13"
"14.14",4,"Herstellung von Wäsche","14.1"
"14.14.1",5,"Herstellung von gewebter Wäsche (ohne Miederwaren)","14.14"
"14.14.2",5,"Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren)","14.14"
"14.14.3",5,"Herstellung von Miederwaren","14.14"
"14.19",4,"Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.","14.1"
"14.19.0",5,"Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.","14.19"
"14.2",3,"Herstellung von Pelzwaren",14
"14.20",4,"Herstellung von Pelzwaren","14.2"
"14.20.0",5,"Herstellung von Pelzwaren","14.20"
"14.3",3,"Herstellung von Bekleidung aus gewirktem und gestricktem Stoff",14
"14.31",4,"Herstellung von Strumpfwaren","14.3"
"14.31.0",5,"Herstellung von Strumpfwaren","14.31"
"14.39",4,"Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff","14.3"
"14.39.0",5,"Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff","14.39"
15,2,"Herstellung von Leder, Lederwaren und Schuhen","C"
"15.1",3,"Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung)",15
"15.11",4,"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen","15.1"
"15.11.0",5,"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen","15.11"
"15.12",4,"Lederverarbeitung (ohne Herstellung von Lederbekleidung)","15.1"
"15.12.0",5,"Lederverarbeitung (ohne Herstellung von Lederbekleidung)","15.12"
"15.2",3,"Herstellung von Schuhen",15
"15.20",4,"Herstellung von Schuhen","15.2"
"15.20.0",5,"Herstellung von Schuhen","15.20"
16,2,"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)","C"
"16.1",3,"Säge-, Hobel- und Holzimprägnierwerke",16
"16.10",4,"Säge-, Hobel- und Holzimprägnierwerke","16.1"
