"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"142","14","Manufacture of articles of fur","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/142"
"1420","142","Manufacture of articles of fur","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1420"
"143","14","Manufacture of knitted and crocheted apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/143"
"1430","143","Manufacture of knitted and crocheted apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1430"
"15","C","Manufacture of leather and related products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/15"
"151","15","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/151"
"1511","151","Tanning and dressing of leather; dressing and dyeing of fur","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1511"
"1512","151","Manufacture of luggage, handbags and the like, saddlery and harness","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1512"
"152","15","Manufacture of footwear","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/152"
"1520","152","Manufacture of footwear","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1520"
"16","C","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/16"
"161","16","Sawmilling and planing of wood","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/161"
"1610","161","Sawmilling and planing of wood","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1610"
"162","16","Manufacture of products of wood, cork, straw and plaiting materials","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/162"
"1621","162","Manufacture of veneer sheets and wood-based panels","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1621"
"1622","162","Manufacture of builders' carpentry and joinery","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1622"
"1623","162","Manufacture of wooden containers","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1623"
"1629","162","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1629"
"17","C","Manufacture of paper and paper products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/17"
"170","17","Manufacture of paper and paper products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/170"
"1701","170","Manufacture of pulp, paper and paperboard","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1701"
"1702","170","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1702"
"1709","170","Manufacture of other articles of paper and paperboard","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1709"
"18","C","Printing and reproduction of recorded media","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/18"
"181","18","Printing and service activities related to printing","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/181"
"1811","181","Printing","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1811"
"1812","181","Service activities related to printing","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1812"
"182","18","Reproduction of recorded media","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/182"
"1820","182","Reproduction of recorded media","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1820"
"19","C","Manufacture of coke and refined petroleum products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/19"
"191","19","Manufacture of coke oven products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/191"
"1910","191","Manufacture of coke oven products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1910"
"192","19","Manufacture of refined petroleum products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/192"
"1920","192","Manufacture of refined petroleum products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1920"
"20","C","Manufacture of chemicals and chemical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/20"
"201","20","Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/201"
"2011","201","Manufacture of basic chemicals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2011"
"2012","201","Manufacture of fertilizers and nitrogen compounds","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2012"
"2013","201","Manufacture of plastics and synthetic rubber in primary forms","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2013"
"202","20","Manufacture of other chemical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/202"
"2021","202","Manufacture of pesticides and other agrochemical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2021"
"2022","202","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2022"
"2023","202","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2023"
"2029","202","Manufacture of other chemical products n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2029"
"203","20","Manufacture of man-made fibres","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/203"
"2030","203","Manufacture of man-made fibres","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2030"
"21","C","Manufacture of basic pharmaceutical products and pharmaceutical preparations","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/21"
"210","21","Manufacture of pharmaceuticals, medicinal chemical and botanical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/210"
"2100","210","Manufacture of pharmaceuticals, medicinal chemical and botanical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2100"
"22","C","Manufacture of rubber and plastics products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/22"
"221","22","Manufacture of rubber products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/221"
"2211","221","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2211"
